"photo","name","cuisine","address","averagePrice","ratingValue","reviewCount","url","offer","tags/0","tags/1","tags/2","tags/3","tags/4","tags/5","tags/6","tags/7"
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/bfc5671c-8a7b-4d62-ba68-762f5692abd1/bb398aa6-962e-401f-b4be-2642648a23cd.jpg","Jaipur","Indian","R. Primeiro de Dezembro 28,8200-172,Albufeira","13","9.1","329","https://www.thefork.com/restaurant/jaipur-r343935",,"Indian",,,,,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/e998bc40-d8f9-4159-8d8d-af4e5ab91617/4a66f9f4-0d3b-4eb0-bf82-598bf29a66e9.jpg","AUBERGE LE RELAIS","French","2, rue de Paris,02850,Reuilly-Sauvigny","94","9.6","259","https://www.thefork.com/restaurant/auberge-le-relais-r2842","50% off the 'a la carte' menu","YUMS x2","INSIDER","PAY","Gift cards","French","Accepting my yums",,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/9287996c-beb6-4e94-80aa-c23aef704218/cc6b8c9f-59d9-4ff9-aa37-1b637b6216c4.jpg","Galvin La Chapelle","French","35 Spital Square,E1 6DY,London","85","9.1","391","https://www.thefork.com/restaurant/galvin-la-chapelle-r632801","MICHELIN Special £110","YUMS x2","MICHELIN","French",,,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/42ab18c7-c7ea-46e4-8568-a2bbeff0d772/0a4fbea9-6e84-4575-aca9-9a1c7eaf8578.jpg","Jardim Rustico","Seafood","Av. Sá Carneiro 185,8200-291,Albufeira","30","8.9","85","https://www.thefork.com/restaurant/jardim-rustico-r804109",,"Seafood",,,,,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/781aca47-ffa1-483b-9679-aa35e34d2ad3/5f4ccdb5-0a10-4675-a355-4bd49bdbfce9.jpg","Alliance","French","5 Rue de Poissy,75005,Paris","156","9.7","843","https://www.thefork.com/restaurant/alliance-r77626","Instant MICHELIN €140","YUMS x2","MICHELIN","INSIDER","PAY","Gift cards","French",,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/350f99a4-f0ce-4fbf-b128-cafb52eb0807/d5448854-4f36-4231-9761-004902868f48.jpg","Hidmona Genève","Eritrean","Rue du Prieuré,1202,Geneva","35","9.2","430","https://www.thefork.com/restaurant/hidmona-geneve-r582467","50% off the 'a la carte' menu","YUMS x2","Eritrean",,,,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/678e0c93-0d20-4f11-b337-829b984709f8/8de3629f-04a6-4ced-a7e6-918eb1d20789.jpg","Sphère","French","18 Rue la Boétie,75008,Paris","40","9.9","3226","https://www.thefork.com/restaurant/sphere-r733306","MENU CARTE BLANCHE en 4 étapes  €79","YUMS x2","INSIDER","French",,,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/a7e38be5-d010-4dc9-ad8c-9daa81cad9b8/fdbff5db-93d3-438f-afdb-9df5e5a73a7a.jpg","Louro e Salsa","Vegan cuisine","R. de Dunfermline, Lote11F,8200-278,Albufeira","20","8.9","370","https://www.thefork.com/restaurant/louro-e-salsa-r206495",,"Vegan cuisine",,,,,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/990068b8-2eeb-423c-9ea6-be27fb226142/60b1bb92-9897-497d-888c-9a4526a522c7.jpg","Infinity - Sushi & Steakhouse","International","R. São Gonçalo de Lagos,8200-061,Albufeira","26","8.8","24","https://www.thefork.com/restaurant/infinity-sushi-steakhouse-r732202",,"International",,,,,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/889fbde9-b7d0-4e2b-b2ff-8d9e9b2024d4/4bb8feca-1802-468b-80f8-751e17328e82.jpg","Italian Planet Restaurant","Portuguese","Av. da Liberdade 54-56,8200-002,Albufeira","16","8.9","9","https://www.thefork.com/restaurant/italian-planet-restaurant-r732206",,"Portuguese",,,,,,,
