"photo","name","cuisine","address","averagePrice","ratingValue","reviewCount","url","offer","tags/0","tags/1","tags/2","tags/3","tags/4"
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/dbcd13bb-fac8-43d1-ba86-1168de31fb6c/a9a33634-d235-40b5-b75d-a398833db45b.jpg","Bellalisa Valmor","Pizzeria","Av. Visc. de Valmor 65A,1050-239,Lisboa","25","9.2","4744","https://www.thefork.com/restaurant/bellalisa-valmor-r66714",,"YUMS x2","Pizzeria",,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/b5a324b9-6eb1-457a-82d9-3397f769bbd3/18b6845e-de1c-424e-8b16-2f03e8d62b33.jpg","Yamatai","Japanese","Av. Praia da Vitória 11B,1000-245,Lisboa","30","9.1","2399","https://www.thefork.com/restaurant/yamatai-r702941","-30% sobre a ementa! ","Japanese",,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/8368bae3-3703-467a-887e-56867a26e491/ffa9fd30-0fe2-449f-b87e-3aea64ee4214.jpg","Gurkha Campo Pequeno","Indian","Avenida da República 66,1050-197,Lisbon","16","9.1","1887","https://www.thefork.com/restaurant/gurkha-campo-pequeno-r695787","-30% sobre a ementa!","Indian",,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/aab9f5ff-340b-42b9-8064-a0335b17e615/27c72abe-2099-4ef9-bcc5-ba6834f4acc2.jpg","111 Vinhos - Chiado","International","Rua da Horta Seca - 1,1200-221,Lisboa","15","8.7","35","https://www.thefork.com/restaurant/111-vinhos-chiado-r740874","30% off the 'a la carte' menu","YUMS x2","International",,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/b675cfd9-5800-4cee-a0d7-4c07662d1df0/9554a928-86e0-4be0-a583-f820b56e6f1c.jpg","Blue","Portuguese","R. Barata Salgueiro 55,1250-191,Lisboa","19","9.2","1661","https://www.thefork.com/restaurant/blue-r366403","Menu de Almoço - Quinta-feira €18","YUMS x2","Portuguese","Accepting my yums",,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/231b9c99-d250-429e-88a7-8e2c9c04850e/eff5ca27-c302-4703-9dee-a12367574dc7.jpg","Vegan Pizzaria e Cozinha","Vegan cuisine","R. Dom Domingos Jardo 19,1900-185,Lisboa","15","8.5","51","https://www.thefork.com/restaurant/vegan-pizzaria-e-cozinha-r756872","50% off the 'a la carte' menu","YUMS x2","Vegan cuisine",,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/616eaac0-fa09-4660-8a31-7284462449d9/3949c11f-d8b4-425a-a7e5-6db1170aac76.jpg","Descobre","Portuguese","Rua Bartolomeu Dias, nºs 65 e 69,1400-027,Lisboa","30","9.1","1696","https://www.thefork.com/restaurant/descobre-r64746",,"YUMS x2","INSIDER","Portuguese","Accepting my yums",
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/e2f71cad-365f-4034-b92c-c634b75d524a/f882a284-2311-4aaa-8d18-23cbcf3667a0.jpg","KatanaSushi (Santos)","Japanese","R. Presidente Arriaga nº 55,1200-771,Lisbon","17","9.2","2305","https://www.thefork.com/restaurant/katanasushi-santos-r631751","-40% sobre a ementa, excepto menus e bebidas!","Japanese",,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/a2b672f8-d9a7-4866-8095-93cbe947f179/05a4c130-1f3c-4d9e-84b5-6ff69ed93019.jpg","Antiga Wine Bar","European","Rua de Santo Antonio da Sé - 10,1100-500,Lisbon","18","9.3","681","https://www.thefork.com/restaurant/antiga-wine-bar-r523203",,"YUMS x2","European",,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/7b6841d6-6757-4144-92c6-dc4eca387876/da4a20e4-ffb2-4f39-ae57-939e505114a2.jpg","Pizzaria Mama's","Pizzeria","R. Dom Domingos Jardo 21,1900-185,Lisboa","14","8.2","75","https://www.thefork.com/restaurant/pizzaria-mama-s-r756873","50% off the 'a la carte' menu","YUMS x2","Pizzeria",,,
